BUYER_STATE,BUYER_COUNTY,CountyFIPS_x,StateFIPS_x,Year,MME,FIP_unique,County,State,Population,county_test,state_abbrev,CountyFIPS_y,StateFIPS_y,CountyName,_merge
CO,elbert,8039,8,2009.0,2918.0088038625,80398,Elbert County,CO,22965.0,Elbert,CO,8039.0,8.0,Elbert,both
CO,elbert,8039,8,2010.0,3779.7674025,80398,Elbert County,CO,23142.0,Elbert,CO,8039.0,8.0,Elbert,both
CO,elbert,8039,8,2011.0,4066.9156275,80398,Elbert County,CO,23178.0,Elbert,CO,8039.0,8.0,Elbert,both
CO,elbert,8039,8,2012.0,4150.4250788625,80398,Elbert County,CO,23274.0,Elbert,CO,8039.0,8.0,Elbert,both
CO,elbert,8039,8,2013.0,3764.4276413625003,80398,Elbert County,CO,23541.0,Elbert,CO,8039.0,8.0,Elbert,both
CO,elbert,8039,8,2014.0,4538.609557725,80398,Elbert County,CO,24031.0,Elbert,CO,8039.0,8.0,Elbert,both
CO,fremont,8043,8,2006.0,12527.91030285,80438,Fremont County,CO,46873.0,Fremont,CO,8043.0,8.0,Fremont,both
CO,fremont,8043,8,2007.0,13591.3508202,80438,Fremont County,CO,46959.0,Fremont,CO,8043.0,8.0,Fremont,both
CO,fremont,8043,8,2008.0,16916.5190055,80438,Fremont County,CO,47166.0,Fremont,CO,8043.0,8.0,Fremont,both
CO,fremont,8043,8,2009.0,19451.6872463625,80438,Fremont County,CO,46871.0,Fremont,CO,8043.0,8.0,Fremont,both
CO,fremont,8043,8,2010.0,20208.0176663625,80438,Fremont County,CO,46837.0,Fremont,CO,8043.0,8.0,Fremont,both
CO,fremont,8043,8,2011.0,22785.4076625,80438,Fremont County,CO,47379.0,Fremont,CO,8043.0,8.0,Fremont,both
CO,fremont,8043,8,2012.0,23127.4768540875,80438,Fremont County,CO,47052.0,Fremont,CO,8043.0,8.0,Fremont,both
CO,fremont,8043,8,2013.0,20490.133417725,80438,Fremont County,CO,46332.0,Fremont,CO,8043.0,8.0,Fremont,both
CO,fremont,8043,8,2014.0,18236.10588,80438,Fremont County,CO,46147.0,Fremont,CO,8043.0,8.0,Fremont,both
CO,garfield,8045,8,2006.0,13821.75128695,80458,Garfield County,CO,51594.0,Garfield,CO,8045.0,8.0,Garfield,both
CO,garfield,8045,8,2007.0,17354.6041913625,80458,Garfield County,CO,53534.0,Garfield,CO,8045.0,8.0,Garfield,both
CO,garfield,8045,8,2008.0,18040.6654275,80458,Garfield County,CO,55449.0,Garfield,CO,8045.0,8.0,Garfield,both
CO,garfield,8045,8,2009.0,16752.0840205875,80458,Garfield County,CO,57089.0,Garfield,CO,8045.0,8.0,Garfield,both
CO,garfield,8045,8,2010.0,16731.608856675,80458,Garfield County,CO,56072.0,Garfield,CO,8045.0,8.0,Garfield,both
CO,garfield,8045,8,2011.0,16652.4553090875,80458,Garfield County,CO,56048.0,Garfield,CO,8045.0,8.0,Garfield,both
CO,garfield,8045,8,2012.0,16442.9773783875,80458,Garfield County,CO,56761.0,Garfield,CO,8045.0,8.0,Garfield,both
CO,garfield,8045,8,2013.0,14729.762769075,80458,Garfield County,CO,56938.0,Garfield,CO,8045.0,8.0,Garfield,both
CO,garfield,8045,8,2014.0,14473.310625675,80458,Garfield County,CO,57161.0,Garfield,CO,8045.0,8.0,Garfield,both
CO,gilpin,8047,8,2006.0,232.0157805,80478,Gilpin County,CO,4883.0,Gilpin,CO,8047.0,8.0,Gilpin,both
CO,gilpin,8047,8,2007.0,259.032909,80478,Gilpin County,CO,4893.0,Gilpin,CO,8047.0,8.0,Gilpin,both
CO,gilpin,8047,8,2008.0,184.256133,80478,Gilpin County,CO,5026.0,Gilpin,CO,8047.0,8.0,Gilpin,both
CO,gilpin,8047,8,2009.0,404.7477375,80478,Gilpin County,CO,5352.0,Gilpin,CO,8047.0,8.0,Gilpin,both
CO,gilpin,8047,8,2010.0,777.1390875,80478,Gilpin County,CO,5471.0,Gilpin,CO,8047.0,8.0,Gilpin,both
CO,gilpin,8047,8,2011.0,1732.1814375000001,80478,Gilpin County,CO,5428.0,Gilpin,CO,8047.0,8.0,Gilpin,both
